ALERT_PARAMETERS,QUERY_CONTEXT,SAVED_SEARCH_ID
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION], frequency=DAILY}","{spellCheckEnabled=true, keywords=software developer, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:100025096}]}}, facets={}}",15510110780
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION], frequency=DAILY}","{spellCheckEnabled=true, keywords=software engineer, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:100025096}]}}, facets={}}",15510110772
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION], frequency=DAILY}","{spellCheckEnabled=true, keywords=data scientist, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:100025096}]}}, facets={}}",15510110764
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION], frequency=DAILY}","{spellCheckEnabled=true, keywords=data analyst, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:100025096}]}}, facets={}}",15510110756
"{channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{sortingType=RELEVANCE, keywords=junior developer, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:90009551}]}}, facets={}}",8943247562
"{channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{sortingType=RELEVANCE, keywords=entry level developer, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:101174742}]}}, facets={populatedPlaces={selectedValues=[urn:li:geo:100761630]}}}",8942295826
"{channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{sortingType=RELEVANCE, keywords=ai, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:100025096}]}}, facets={}}",8714900506
"{channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{sortingType=RELEVANCE, keywords=tech, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:100025096}]}}, facets={}}",8714900482
"{channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{sortingType=RELEVANCE, keywords=software, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:100025096}]}}, facets={}}",8714900474
"{channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{sortingType=RELEVANCE, keywords=data analyst, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:100025096}]}}, facets={}}",8560394026
"{channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Software Engineer, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:100761630}]}}, facets={segmentAttributes=[]}}",8537184090
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION], frequency=DAILY}","{spellCheckEnabled=true, keywords=software developer, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:100761630, radiusInKms=40.2335}]}}, facets={}}",8177046874
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION], frequency=DAILY}","{spellCheckEnabled=true, keywords=software engineer, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:100025096}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:3, urn:li:workplaceType:2]}}}",8141313482
